"date","nform","inflow","key","value"
2016-04-15,"nh3n",0.343,"p1",0.094
2016-04-18,"nh3n",0.149,"p1",0.076
2016-04-19,"nh3n",0.296,"p1",0.083
2016-04-20,"nh3n",0.064,"p1",0.049
2016-04-21,"nh3n",2.8,"p1",2.57
2016-04-22,"nh3n",2.52,"p1",2.27
2016-04-25,"nh3n",0.225,"p1",0.092
2016-04-26,"nh3n",0.189,"p1",0.052
2016-04-27,"nh3n",0.274,"p1",0.062
2016-04-28,"nh3n",0.389,"p1",0.11
2016-04-29,"nh3n",0.35,"p1",0.077
2016-05-02,"nh3n",0.451,"p1",0.117
2016-05-04,"nh3n",0.426,"p1",0.047
2016-05-05,"nh3n",0.389,"p1",0.038
2016-05-06,"nh3n",0.317,"p1",0.058
2016-05-09,"nh3n",0.232,"p1",0.058
2016-05-10,"nh3n",0.229,"p1",0.043
2016-05-11,"nh3n",0.223,"p1",0.044
2016-05-12,"nh3n",0.215,"p1",0.052
2016-05-13,"nh3n",0.213,"p1",0.034
2016-05-16,"nh3n",0.162,"p1",0.049
2016-05-17,"nh3n",0.179,"p1",0.027
2016-05-18,"nh3n",0.264,"p1",0.035
2016-05-19,"nh3n",0.253,"p1",0.027
2016-05-23,"nh3n",0.156,"p1",0.094
2016-05-24,"nh3n",0.141,"p1",0.078
2016-05-25,"nh3n",0.136,"p1",0.071
2016-05-27,"nh3n",0.212,"p1",0.12
2016-05-30,"nh3n",0.147,"p1",0.055
2016-05-31,"nh3n",0.186,"p1",0.075
2016-06-01,"nh3n",0.234,"p1",0.103
2016-06-02,"nh3n",0.301,"p1",0.085
2016-06-03,"nh3n",0.433,"p1",0.092
2016-06-07,"nh3n",0.175,"p1",0.076
2016-06-08,"nh3n",0.276,"p1",0.073
2016-06-09,"nh3n",0.297,"p1",0.06
2016-06-10,"nh3n",0.405,"p1",0.087
2016-06-13,"nh3n",0.37,"p1",0.064
2016-06-14,"nh3n",0.324,"p1",0.068
2016-06-15,"nh3n",0.396,"p1",0.072
2016-06-16,"nh3n",0.66,"p1",0.162
2016-06-17,"nh3n",0.382,"p1",0.068
2016-06-20,"nh3n",0.478,"p1",0.106
2016-06-21,"nh3n",0.669,"p1",0.113
2016-07-01,"nh3n",0.916,"p1",0.745
2016-07-11,"nh3n",0.356,"p1",0.094
2016-07-20,"nh3n",1.98,"p1",2.01
2016-08-09,"nh3n",0.911,"p1",0.805
2016-08-30,"nh3n",6.1,"p1",5.94
2016-08-31,"nh3n",2.89,"p1",2.43
2016-09-01,"nh3n",2,"p1",1.78
2016-09-02,"nh3n",0.416,"p1",0.208
2016-09-16,"nh3n",1.69,"p1",1.54
2016-09-19,"nh3n",2.08,"p1",2
2016-09-20,"nh3n",1.97,"p1",1.87
2016-09-22,"nh3n",4.01,"p1",3.79
2016-09-23,"nh3n",3.53,"p1",3.47
2016-09-26,"nh3n",0.589,"p1",0.486
2016-09-27,"nh3n",2.18,"p1",2.04
2016-09-29,"nh3n",0.373,"p1",0.215
2016-09-30,"nh3n",0.286,"p1",0.178
2016-10-03,"nh3n",0.254,"p1",0.192
2016-10-05,"nh3n",0.315,"p1",0.212
2016-10-07,"nh3n",0.2,"p1",0.171
2016-10-10,"nh3n",0.464,"p1",0.342
2016-10-12,"nh3n",0.237,"p1",0.177
2016-10-14,"nh3n",0.225,"p1",0.121
2016-10-17,"nh3n",0.297,"p1",0.17
2016-10-19,"nh3n",0.203,"p1",0.118
2016-10-24,"nh3n",0.15,"p1",0.067
2016-10-26,"nh3n",0.317,"p1",0.19
2016-10-28,"nh3n",0.253,"p1",0.169
2016-10-31,"nh3n",0.13,"p1",0.106
2016-11-02,"nh3n",0.156,"p1",0.112
2016-11-04,"nh3n",0.374,"p1",0.206
2016-11-07,"nh3n",0.232,"p1",0.137
2016-11-14,"nh3n",0.345,"p1",0.425
2016-11-18,"nh3n",0.198,"p1",0.108
2016-11-21,"nh3n",0.204,"p1",0.081
2016-11-26,"nh3n",0.394,"p1",0.2
2016-11-28,"nh3n",0.228,"p1",0.179
2016-12-02,"nh3n",0.243,"p1",0.147
2016-12-05,"nh3n",0.235,"p1",0.191
2016-12-08,"nh3n",0.241,"p1",0.162
2016-12-13,"nh3n",0.326,"p1",0.217
2016-12-16,"nh3n",0.416,"p1",0.268
2016-12-21,"nh3n",0.276,"p1",0.142
2016-12-29,"nh3n",0.192,"p1",0.089
2017-01-02,"nh3n",0.225,"p1",0.18
2017-01-05,"nh3n",0.573,"p1",0.414
2017-01-10,"nh3n",0.139,"p1",0.087
2017-01-16,"nh3n",0.324,"p1",0.235
2017-01-18,"nh3n",0.395,"p1",0.228
2017-01-20,"nh3n",0.423,"p1",0.215
2017-01-23,"nh3n",0.249,"p1",0.15
2017-01-25,"nh3n",0.251,"p1",0.127
2017-02-01,"nh3n",0.471,"p1",0.258
